Season,Name,Team,playerid
2002,Eric Chavez,Athletics,906
2015,Carlos Gonzalez,Rockies,7287
2002,Garret Anderson,Angels,2
2002,Carlos Beltran,Royals,589
2012,Miguel Montero,Diamondbacks,3364
2010,Vladimir Guerrero,Rangers,778
2014,Justin Upton,Braves,5222
2010,Vernon Wells,Blue Jays,1326
2003,Jason Varitek,Red Sox,217
2013,Allen Craig,Cardinals,3433
2006,Adam Dunn,Reds,319
2003,Jason Kendall,Pirates,993
2007,Josh Willingham,Marlins,2103
2015,Buster Posey,Giants,9166
2012,Paul Goldschmidt,Diamondbacks,9218
2009,Nelson Cruz,Rangers,2434
2013,Carlos Gomez,Brewers,4881
2002,Carlos Lee,White Sox,243
2006,Scott Hatteberg,Reds,916
2002,Brad Wilkerson,Expos,804
2012,Nick Swisher,Yankees,4599
2009,Paul Konerko,White Sox,242
2009,Bobby Abreu,Angels,945
2003,Ivan Rodriguez,Marlins,1275
2016,Kyle Seager,Mariners,9785
2004,Hank Blalock,Rangers,1419
2014,Jose Altuve,Astros,5417
2008,Conor Jackson,Diamondbacks,5997
2007,Nick Swisher,Athletics,4599
2004,Jose Guillen,Angels,57
2012,Ian Desmond,Nationals,6885
2003,Andruw Jones,Braves,96
2006,Raul Ibanez,Mariners,607
2002,Ray Durham,- - -,230
2013,Yadier Molina,Cardinals,7007
2014,Hanley Ramirez,Dodgers,8001
2007,Ichiro Suzuki,Mariners,1101
2004,Vinny Castilla,Rockies,84
2007,Travis Hafner,Indians,1573
2004,Lew Ford,Twins,1724
2007,Robinson Cano,Yankees,3269
2006,Johnny Damon,Yankees,185
2009,Matt Kemp,Dodgers,5631
2010,Brian McCann,Braves,4810
2016,Jonathan Lucroy,- - -,7870
2002,Jorge Posada,Yankees,841
2002,Frank Thomas,White Sox,255
2016,Wilson Ramos,Nationals,1433
2016,Carlos Gonzalez,Rockies,7287
2012,Alex Rios,White Sox,2090
2004,Casey Blake,Indians,719
2014,Lucas Duda,Mets,2502
2015,Jose Abreu,White Sox,15676
2007,Adrian Gonzalez,Padres,1908
2011,Mark Teixeira,Yankees,1281
2015,Alex Rodriguez,Yankees,1274
2003,Mike Lieberthal,Phillies,959
2012,Adam LaRoche,Nationals,1904
2012,Adam Jones,Orioles,6368
2014,Anthony Rendon,Nationals,12861
2014,Robinson Cano,Mariners,3269
2005,Jermaine Dye,White Sox,911
2003,Scott Podsednik,Brewers,1095
2014,Matt Holliday,Cardinals,1873
2015,Prince Fielder,Rangers,4613
2002,Jose Hernandez,Brewers,688
2011,Nick Swisher,Yankees,4599
2004,Chipper Jones,Braves,97
2015,Lorenzo Cain,Royals,9077
2013,Evan Longoria,Rays,9368
2016,Ben Zobrist,Cubs,7435
2005,Felipe Lopez,Reds,1311
2009,Scott Rolen,- - -,970
2012,Albert Pujols,Angels,1177
2005,Marcus Giles,Braves,89
2010,Daric Barton,Athletics,5928
2011,Andrew McCutchen,Pirates,9847
2008,Derrek Lee,Cubs,525
2009,Yunel Escobar,Braves,4191
2007,Orlando Hudson,Diamondbacks,1307
2009,Brian McCann,Braves,4810
2009,Dustin Pedroia,Red Sox,8370
