Season,Name,Team,playerid
2007,Adam Wainwright,Cardinals,2233
2011,Ryan Dempster,Cubs,517
2006,Felix Hernandez,Mariners,4772
2002,Livan Hernandez,Giants,1116
2008,Matt Cain,Giants,4732
2003,Jae Seo,Mets,895
2006,Chien-Ming Wang,Yankees,2074
2012,Rick Porcello,Tigers,2717
2008,Andy Sonnanstine,Rays,7667
2003,Brad Penny,Marlins,535
2012,Tommy Milone,Athletics,7608
2012,Matt Moore,Rays,1890
2014,Doug Fister,Nationals,9425
2016,Adam Wainwright,Cardinals,2233
2013,Matt Cain,Giants,4732
2010,Randy Wells,Cubs,4535
2003,Joel Pineiro,Mariners,1094
2013,Ervin Santana,Royals,3200
2005,Paul Byrd,Angels,594
2007,Roberto Hernandez,Indians,3273
2014,Yovani Gallardo,Brewers,8173
2012,Scott Diamond,Twins,5089
2011,Derek Holland,Rangers,4141
2008,Mark Buehrle,White Sox,225
2012,Yovani Gallardo,Brewers,8173
2015,Brett Anderson,Dodgers,8223
2005,Josh Towers,Blue Jays,1489
2010,Jason Vargas,Mariners,8044
2012,Chris Capuano,Dodgers,1701
2003,CC Sabathia,Indians,404
2004,Mike Mussina,Yankees,837
2010,Livan Hernandez,Nationals,1116
2016,Collin McHugh,Astros,7531
2006,Jason Schmidt,Giants,1131
2002,Eric Milton,Twins,743
2012,Wandy Rodriguez,- - -,2586
2015,Jeff Locke,Pirates,2929
2014,Kyle Lohse,Brewers,739
2011,Livan Hernandez,Nationals,1116
2009,Randy Wolf,Dodgers,976
2015,Kyle Gibson,Twins,10123
2016,J.A. Happ,Blue Jays,7410
2010,Scott Baker,Twins,6176
2005,Jake Westbrook,Indians,412
2008,Mike Pelfrey,Mets,5203
2002,Russ Ortiz,Giants,1124
2009,Yovani Gallardo,Brewers,8173
2012,Homer Bailey,Reds,8362
2003,David Wells,Yankees,855
2010,Johnny Cueto,Reds,6893
2015,Scott Kazmir,- - -,4897
2014,Wade Miley,Diamondbacks,8779
2005,Doug Davis,Brewers,1244
2016,Jeremy Hellickson,Phillies,4371
2016,Cole Hamels,Rangers,4972
2006,Matt Cain,Giants,4732
2011,Mark Buehrle,White Sox,225
2014,Jason Hammel,- - -,4538
2013,Wade Miley,Diamondbacks,8779
2003,Ben Sheets,Brewers,710
2007,Derek Lowe,Dodgers,199
2005,Matt Morris,Cardinals,1172
2007,Justin Verlander,Tigers,8700
2010,Ryan Dempster,Cubs,517
2009,Carl Pavano,- - -,790
2010,Jonathan Sanchez,Giants,7507
2011,Ervin Santana,Angels,3200
2015,Mike Pelfrey,Twins,5203
2015,Mike Fiers,- - -,7754
2015,Yovani Gallardo,Rangers,8173
2013,Dillon Gee,Mets,7396
2016,Bartolo Colon,Mets,375
2002,Mark Buehrle,White Sox,225
2005,Mike Mussina,Yankees,837
2014,Clay Buchholz,Red Sox,3543
2004,Dontrelle Willis,Marlins,1703
2007,Ian Snell,Pirates,2227
2011,Ivan Nova,Yankees,1994
2015,Ubaldo Jimenez,Orioles,3374
2012,Paul Maholm,- - -,8678
2004,Livan Hernandez,Expos,1116
2003,Jamie Moyer,Mariners,1091
2002,Freddy Garcia,Mariners,1077
2016,Carlos Rodon,White Sox,16137
2013,Kyle Kendrick,Phillies,6230
2014,Chris Tillman,Orioles,5279
2010,Carl Pavano,Twins,790
2008,Kevin Millwood,Rangers,106
2009,James Shields,Rays,7059
2015,Chris Heston,Giants,10302
2011,Bud Norris,Astros,9492
2016,Trevor Bauer,Indians,12703
2007,Gil Meche,Royals,1089
2013,Scott Feldman,- - -,6283
2013,Jeff Locke,Pirates,2929
2014,Roenis Elias,Mariners,12673
2011,Chris Capuano,Mets,1701
2012,Matt Harrison,Rangers,5551
2011,Tim Stauffer,Padres,6432
2008,Daisuke Matsuzaka,Red Sox,7775
2002,Jamie Moyer,Mariners,1091
2010,Brett Cecil,Blue Jays,2660
2005,Matt Clement,Red Sox,271
2006,Chris Capuano,Brewers,1701
2012,Ian Kennedy,Diamondbacks,6986
2013,Mike Leake,Reds,10130
2012,C.J. Wilson,Angels,3580
2009,Jered Weaver,Angels,4235
2005,Freddy Garcia,White Sox,1077
2010,Brian Matusz,Orioles,2646
2004,Jake Westbrook,Indians,412
2003,Barry Zito,Athletics,944
2009,Derek Lowe,Braves,199
2012,Edinson Volquez,Padres,3990
2011,Rick Porcello,Tigers,2717
2005,Javier Vazquez,Diamondbacks,801
2005,Greg Maddux,Cubs,104
2005,Brett Myers,Phillies,962
2005,Kenny Rogers,Rangers,1277
2015,Taijuan Walker,Mariners,11836
2009,Jeff Niemann,Rays,8591
2004,Matt Clement,Cubs,271
2009,Scott Baker,Twins,6176
2003,Mike Hampton,Braves,430
2012,Joe Saunders,- - -,4366
2013,Kyle Lohse,Brewers,739
2003,Tim Wakefield,Red Sox,219
2004,John Lackey,Angels,1507
2012,Bronson Arroyo,Reds,978
2011,Jason Vargas,Mariners,8044
2008,Greg Maddux,- - -,104
2003,Adam Eaton,Padres,1029
2010,Justin Masterson,Indians,2038
2010,Tim Hudson,Braves,921
2014,Dan Haren,Dodgers,1757
2008,Dana Eveland,Athletics,5508
2012,James McDonald,Pirates,5523
2006,Jason Jennings,Rockies,434
2013,CC Sabathia,Yankees,404
2010,Jon Niese,Mets,4424
2004,Woody Williams,Cardinals,1190
2013,Mark Buehrle,Blue Jays,225
2011,Trevor Cahill,Athletics,6249
2003,Mark Buehrle,White Sox,225
2006,Jose Contreras,White Sox,1660
2009,Jason Marquis,Rockies,105
2011,Jeff Francis,Royals,4684
2011,Carl Pavano,Twins,790
2016,Kevin Gausman,Orioles,14107
2015,Jimmy Nelson,Brewers,10547
2010,Roberto Hernandez,Indians,3273
2003,Bartolo Colon,White Sox,375
2003,Tim Redding,Astros,573
2012,Jon Lester,Red Sox,4930
