Season,Name,Team,playerid
2016,David Price,Red Sox,3184
2003,Scot Shields,Angels,35
2002,Tim Hudson,Athletics,921
2014,Hiroki Kuroda,Yankees,3283
2016,Jon Gray,Rockies,14916
2005,Kevin Brown,Yankees,642
2016,Carlos Martinez,Cardinals,11682
2008,Gil Meche,Royals,1089
2013,Garrett Richards,Angels,9784
2009,Carlos Zambrano,Cubs,305
2015,Jake Odorizzi,Rays,6397
2010,Clay Buchholz,Red Sox,3543
2015,Danny Salazar,Indians,5867
2006,Kelvim Escobar,Angels,1298
2004,Noah Lowry,Giants,1833
2008,Wandy Rodriguez,Astros,2586
1997,Shane Reynolds,Astros,574
1998,Kevin Millwood,Braves,106
2007,Brad Penny,Dodgers,535
2007,Tim Lincecum,Giants,5705
2009,Josh Beckett,Red Sox,510
2010,Ricky Romero,Blue Jays,3403
1999,Mike Hampton,Astros,430
2008,Jon Lester,Red Sox,4930
2011,Erik Bedard,- - -,126
2011,Brandon Morrow,Blue Jays,9346
2011,Gio Gonzalez,Athletics,7448
2002,Mike Mussina,Yankees,837
2014,Yordano Ventura,Royals,11855
2001,Jason Schmidt,- - -,1131
2005,Brad Penny,Dodgers,535
2014,Shane Greene,Yankees,10756
2010,R.A. Dickey,Mets,1245
2010,Doug Fister,Mariners,9425
2010,Matt Cain,Giants,4732
2012,Brandon Morrow,Blue Jays,9346
2014,Mat Latos,Reds,3815
2014,Rick Porcello,Tigers,2717
1997,Ben McDonald,Brewers,1008454
2009,Ted Lilly,Cubs,833
2011,Juan Nicasio,Rockies,7731
2000,Al Leiter,Mets,883
2002,Mike Maroth,Tigers,1508
2010,Madison Bumgarner,Giants,5524
2014,Jesse Chavez,Athletics,5448
2013,Tyler Chatwood,Rockies,4338
2002,Jeff Weaver,- - -,503
2014,Mark Buehrle,Blue Jays,225
2013,Ross Detwiler,Nationals,2859
2007,Cha Seung Baek,Mariners,8214
2012,Alex Cobb,Rays,6562
2005,Aaron Harang,Reds,1451
2003,Roy Oswalt,Astros,571
2011,Kyle Lohse,Cardinals,739
2010,Cole Hamels,Phillies,4972
2011,Phil Coke,Tigers,5535
2003,Sidney Ponson,- - -,161
1998,Ramon Martinez,Dodgers,1008193
2015,Anthony DeSclafani,Reds,13050
2014,Jon Niese,Mets,4424
2013,Shelby Miller,Cardinals,10197
1999,Miguel Batista,Expos,46
2011,Tommy Hanson,Braves,9129
2002,Cory Lidle,Athletics,926
2004,Freddy Garcia,- - -,1077
2005,Tom Glavine,Mets,90
2011,Ubaldo Jimenez,- - -,3374
2000,Javier Vazquez,Expos,801
2009,Jair Jurrjens,Braves,5556
2002,Javier Vazquez,Expos,801
2015,Jason Hammel,Cubs,4538
2013,Chris Capuano,Dodgers,1701
2011,Alexi Ogando,Rangers,10261
2002,David Wells,Yankees,855
2006,Aaron Harang,Reds,1451
2010,Chris Carpenter,Cardinals,1292
2005,Jason Vargas,Marlins,8044
2016,Julio Teheran,Braves,6797
2002,Jake Peavy,Padres,1051
2012,Roy Halladay,Phillies,1303
2008,Justin Duchscherer,Athletics,910
2012,Ryan Dempster,- - -,517
2009,Brett Anderson,Athletics,8223
2005,CC Sabathia,Indians,404
2002,Mark Redman,Tigers,491
1997,Darryl Kile,Astros,1163
2015,Alex Wood,- - -,13781
2013,Julio Teheran,Braves,6797
2001,Brad Radke,Twins,748
2005,Carlos Zambrano,Cubs,305
1997,Shawn Estes,Giants,873
2014,T.J. House,Indians,9121
1998,Jose Silva,Pirates,354
2007,Dan Haren,Athletics,1757
2010,John Danks,White Sox,6329
2002,Mark Mulder,Athletics,932
2013,Andy Pettitte,Yankees,840
2012,Ryan Vogelsong,Giants,1011
2010,Jason Hammel,Rockies,4538
2011,Derek Lowe,Braves,199
2006,Derek Lowe,Dodgers,199
2016,Junior Guerra,Brewers,5702
2008,Andy Pettitte,Yankees,840
2012,Dillon Gee,Mets,7396
2004,Jon Lieber,Yankees,287
2007,Aaron Harang,Reds,1451
2010,Max Scherzer,Tigers,3137
2010,Dan Haren,- - -,1757
2003,Kerry Wood,Cubs,304
2009,Jason Hammel,Rockies,4538
2016,Marcus Stroman,Blue Jays,13431
2004,Rich Harden,Athletics,1772
2016,Jameson Taillon,Pirates,11674
2002,Jarrod Washburn,Angels,40
2002,Pete Munro,Astros,1546
2009,Cole Hamels,Phillies,4972
2011,Ryan Vogelsong,Giants,1011
2015,Felix Hernandez,Mariners,4772
2003,Rich Harden,Athletics,1772
2002,Vicente Padilla,Phillies,964
2016,Carlos Carrasco,Indians,6632
2004,Kelvim Escobar,Angels,1298
2008,Cole Hamels,Phillies,4972
2003,Woody Williams,Cardinals,1190
1999,Alex Fernandez,Marlins,1003993
2014,Charlie Morton,Pirates,4676
2005,Cory Lidle,Phillies,926
2010,Carlos Zambrano,Cubs,305
2002,Bartolo Colon,- - -,375
2009,John Lackey,Angels,1507
2011,Shaun Marcum,Brewers,6204
2005,Kevin Millwood,Indians,106
2007,Dustin McGowan,Blue Jays,8600
2009,Chad Billingsley,Dodgers,5842
2016,Miguel Gonzalez,White Sox,7024
2015,Andrew Heaney,Angels,15423
2014,Tyler Matzek,Rockies,10058
1998,Jamie Moyer,Mariners,1091
2009,Dallas Braden,Athletics,8099
2012,Jake Peavy,White Sox,1051
2001,Darryl Kile,Cardinals,1163
2015,Hisashi Iwakuma,Mariners,13048
